NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Assassin's Creed: Unity,PS4,Action,1.19,2.07,0.08,0.62,3.96,2.15
Batman: Arkham Knight,PS4,Action,1.53,1.69,0.1,0.64,3.95,1.79
The Legend of Zelda: Skyward Sword,Wii,Action,2.03,1.16,0.37,0.38,3.95,1.5299999999999998
Fallout 3,PS3,Role-Playing,2.15,1.13,0.07,0.59,3.94,1.2
Professor Layton and the Diabolical Box,DS,Puzzle,0.9,1.76,0.92,0.37,3.94,2.68
Donkey Kong Land,GB,Platform,1.97,0.76,1.07,0.11,3.91,1.83
EA Sports Active,Wii,Sports,2.09,1.35,0.06,0.4,3.9,1.4100000000000001
Tony Hawk's Underground,PS2,Sports,2.29,1.17,0.01,0.42,3.9,1.18
Monster Hunter 4 Ultimate,3DS,Role-Playing,0.68,0.48,2.62,0.11,3.89,3.1
The Elder Scrolls V: Skyrim,PC,Role-Playing,1.16,2.12,0.0,0.6,3.88,2.12
NBA 2K16,PS4,Sports,2.49,0.66,0.03,0.69,3.88,0.6900000000000001
Tekken 5,PS2,Fighting,0.93,1.94,0.31,0.7,3.87,2.25
Dragon Warrior III,NES,Role-Playing,0.1,0.0,3.77,0.0,3.87,3.77
MotorStorm,PS3,Racing,1.53,1.6,0.06,0.67,3.87,1.6600000000000001
Nintendogs + cats,3DS,Simulation,1.44,1.41,0.73,0.27,3.85,2.1399999999999997
World Soccer Winning Eleven 8 International,PS2,Sports,0.16,1.89,1.12,0.68,3.85,3.01
Sports Champions,PS3,Sports,2.13,1.12,0.1,0.5,3.84,1.2200000000000002
Namco Museum Vol.1,PS,Misc,2.12,1.44,0.22,0.06,3.84,1.66
The Legend of Zelda: Link's Awakening,GB,Action,2.21,0.96,0.54,0.13,3.83,1.5
Call of Duty: Ghosts,PS4,Shooter,1.78,1.43,0.05,0.57,3.83,1.48
Flash Focus: Vision Training in Minutes a Day,DS,Misc,0.86,1.56,1.05,0.35,3.83,2.6100000000000003
Tom Clancy's The Division,PS4,Shooter,1.35,1.7,0.15,0.6,3.8,1.8499999999999999
Big Brain Academy: Wii Degree,Wii,Misc,1.05,1.91,0.41,0.42,3.79,2.32
Resident Evil Director's Cut,PS,Action,1.82,1.24,0.47,0.25,3.77,1.71
Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,2.23,0.47,0.81,0.26,3.77,1.28
LEGO Indiana Jones: The Original Adventures,X360,Action,2.4,1.01,0.0,0.36,3.76,1.01
The Sims: Unleashed,PC,Simulation,2.03,1.56,0.0,0.17,3.76,1.56
Ratchet & Clank: Size Matters,PSP,Platform,1.4,1.39,0.1,0.86,3.74,1.49
Harry Potter and the Sorcerer's Stone,PS,Action,1.37,2.0,0.14,0.22,3.73,2.14
Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,1.12,1.87,0.27,0.45,3.72,2.14
Resident Evil 3: Nemesis,PS,Action,1.3,0.77,1.54,0.11,3.72,2.31
Super Paper Mario,Wii,Platform,1.95,0.86,0.59,0.31,3.71,1.45
Spyro: Year of the Dragon,PS,Platform,1.93,1.58,0.0,0.19,3.71,1.58
Assassin's Creed IV: Black Flag,PS3,Action,1.33,1.68,0.13,0.57,3.71,1.81
FIFA Soccer 2005,PS2,Sports,0.58,2.48,0.04,0.59,3.7,2.52
Pokémon Trading Card Game,GB,Strategy,1.49,0.73,1.38,0.1,3.7,2.11
Friend Collection,DS,Misc,0.0,0.0,3.67,0.0,3.67,3.67
Tony Hawk's Pro Skater 4,PS2,Sports,2.13,1.18,0.01,0.35,3.67,1.19
Star Wars Battlefront (2015),XOne,Shooter,2.04,1.28,0.02,0.32,3.66,1.3
MySims,DS,Simulation,1.58,1.59,0.08,0.41,3.66,1.6700000000000002
Midnight Club 3: DUB Edition,PSP,Racing,1.65,1.21,0.0,0.79,3.65,1.21
Banjo-Kazooie,N64,Platform,1.87,1.13,0.55,0.1,3.65,1.68
SOCOM: U.S. Navy SEALs,PS2,Shooter,2.53,0.81,0.06,0.24,3.65,0.8700000000000001
Jak and Daxter: The Precursor Legacy,PS2,Platform,2.08,1.09,0.15,0.33,3.64,1.24
Pokemon Snap,N64,Simulation,2.23,0.68,0.66,0.06,3.63,1.34
Pro Evolution Soccer 2008,PS2,Sports,0.05,0.0,0.64,2.93,3.63,0.64
Resident Evil 4,PS2,Action,2.08,0.83,0.46,0.25,3.62,1.29
Guitar Hero: World Tour,Wii,Misc,2.32,0.96,0.0,0.34,3.62,0.96
FIFA Soccer 10,PS3,Sports,0.6,2.45,0.05,0.52,3.62,2.5
Star Wars: Battlefront,PS2,Shooter,1.93,1.22,0.03,0.44,3.61,1.25
Doom II: Hell on Earth,PC,Shooter,2.05,1.4,0.0,0.16,3.61,1.4
The Simpsons: Road Rage,PS2,Racing,2.02,1.17,0.0,0.42,3.61,1.17
Luigi's Mansion,GC,Action,2.38,0.67,0.46,0.1,3.6,1.1300000000000001
Battlefield 4,PS4,Shooter,1.35,1.55,0.17,0.51,3.59,1.72
Star Wars: Battlefront II,PS2,Shooter,2.18,1.02,0.03,0.37,3.59,1.05
Just Dance 2014,Wii,Misc,1.88,1.39,0.0,0.31,3.59,1.39
Cooking Mama 2: Dinner With Friends,DS,Simulation,1.6,1.49,0.1,0.39,3.58,1.59
WWF SmackDown!,PS,Fighting,2.01,1.35,0.06,0.16,3.58,1.4100000000000001
Croc: Legend of the Gobbos,PS,Platform,1.57,1.79,0.0,0.2,3.56,1.79
Grand Theft Auto: Liberty City Stories,PS2,Action,1.56,1.4,0.07,0.5,3.54,1.47
The Getaway,PS2,Action,1.23,1.77,0.05,0.49,3.54,1.82
Tomb Raider III: Adventures of Lara Croft,PS,Action,1.66,1.58,0.12,0.18,3.54,1.7000000000000002
James Bond 007: Agent Under Fire,PS2,Shooter,1.9,1.13,0.1,0.41,3.53,1.23
LEGO Star Wars: The Video Game,PS2,Action,1.98,1.14,0.01,0.41,3.53,1.15
Rugrats in Paris: The Movie,PS,Action,1.96,1.33,0.0,0.23,3.52,1.33
FIFA Soccer 11,X360,Sports,0.71,2.39,0.02,0.4,3.52,2.41
Spyro 2: Ripto's Rage!,PS,Platform,2.14,1.21,0.01,0.17,3.52,1.22
Left 4 Dead,X360,Shooter,2.66,0.49,0.05,0.3,3.51,0.54
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,1.17,0.5,1.75,0.08,3.51,2.25
Assassin's Creed: Unity,XOne,Action,2.27,0.9,0.0,0.33,3.5,0.9
Kung Fu,NES,Action,1.64,0.38,1.42,0.06,3.5,1.7999999999999998
Resident Evil 5,X360,Action,2.11,0.93,0.12,0.34,3.5,1.05
Assassin's Creed: Brotherhood,X360,Action,2.85,0.38,0.03,0.24,3.49,0.41000000000000003
FIFA Soccer 2004,PS2,Sports,0.59,2.36,0.04,0.51,3.49,2.4
Battlefield 4,PS3,Shooter,1.3,1.42,0.27,0.5,3.49,1.69
Batman: Arkham Asylum,X360,Action,2.2,0.95,0.02,0.31,3.48,0.97
Battlefield 4,X360,Shooter,2.15,1.01,0.02,0.31,3.48,1.03
Battlefield: Bad Company 2,X360,Shooter,2.1,1.01,0.04,0.32,3.47,1.05
Mario & Sonic at the Olympic Winter Games,DS,Sports,1.21,1.62,0.27,0.37,3.46,1.8900000000000001
Guitar Hero: On Tour,DS,Misc,2.1,1.01,0.01,0.35,3.46,1.02
Clubhouse Games,DS,Misc,0.59,1.79,0.73,0.34,3.45,2.52
Monster Hunter 4,3DS,Role-Playing,0.0,0.0,3.44,0.0,3.44,3.44
Borderlands,X360,Shooter,2.4,0.71,0.03,0.29,3.44,0.74
Tekken 4,PS2,Fighting,1.55,1.27,0.33,0.29,3.44,1.6
Final Fantasy III,SNES,Role-Playing,0.86,0.0,2.55,0.02,3.42,2.55
Grand Theft Auto 2,PS,Action,1.13,2.07,0.0,0.22,3.42,2.07
Metal Gear Solid V: The Phantom Pain,PS4,Action,1.09,1.36,0.49,0.48,3.41,1.85
Spider-Man 2,PS2,Action,1.75,1.2,0.02,0.43,3.41,1.22
F-1 Race,GB,Racing,1.73,0.69,0.59,0.4,3.41,1.2799999999999998
FIFA Soccer 2003,PS2,Sports,0.46,2.28,0.05,0.61,3.4,2.3299999999999996
LittleBigPlanet 2,PS3,Platform,1.83,1.05,0.06,0.46,3.39,1.11
Crash Bash,PS,Misc,1.56,1.47,0.19,0.17,3.39,1.66
Assassin's Creed Syndicate,PS4,Action,0.81,1.99,0.07,0.52,3.39,2.06
LEGO Batman: The Videogame,X360,Action,2.04,1.02,0.0,0.32,3.38,1.02
Destiny,XOne,Shooter,2.14,0.92,0.0,0.31,3.37,0.92
WWF War Zone,PS,Fighting,2.47,0.76,0.0,0.13,3.36,0.76
The Legend of Zelda: Majora's Mask,N64,Action,1.9,0.67,0.73,0.06,3.36,1.4
Far Cry 3,PS3,Shooter,0.88,1.7,0.1,0.67,3.35,1.8
Rugrats: Search For Reptar,PS,Adventure,1.63,1.53,0.0,0.18,3.34,1.53
English Training: Have Fun Improving Your Skills!,DS,Misc,0.0,0.99,2.32,0.02,3.33,3.3099999999999996
James Bond 007: Nightfire,PS2,Shooter,1.45,1.29,0.12,0.46,3.33,1.4100000000000001
Ratchet & Clank,PS2,Platform,1.44,1.01,0.57,0.3,3.33,1.58
Monster Hunter X,3DS,Action,0.27,0.21,2.79,0.05,3.32,3.0
Star Wars Episode III: Revenge of the Sith,PS2,Action,1.47,1.39,0.03,0.43,3.32,1.42
The Legend of Zelda: Spirit Tracks,DS,Action,1.4,0.91,0.74,0.26,3.31,1.65
Max Payne,PS2,Shooter,1.99,1.05,0.05,0.22,3.31,1.1
Assassin's Creed IV: Black Flag,X360,Action,1.9,1.11,0.01,0.29,3.3,1.12
The Lord of the Rings: The Return of the King,PS2,Action,1.5,1.28,0.05,0.46,3.28,1.33
Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,0.09,0.0,3.18,0.01,3.28,3.18
Gears of War: Ultimate Edition,XOne,Shooter,2.61,0.33,0.0,0.34,3.28,0.33
True Crime: Streets of LA,PS2,Action,1.89,1.05,0.02,0.31,3.27,1.07
Professor Layton and the Unwound Future,DS,Puzzle,0.6,1.57,0.82,0.27,3.26,2.39
Gran Turismo (PSP),PSP,Racing,0.5,1.58,0.31,0.87,3.25,1.8900000000000001
FIFA 16,XOne,Sports,0.89,2.12,0.0,0.24,3.25,2.12
Wii Music,Wii,Misc,1.35,1.11,0.46,0.32,3.25,1.57
Tekken,PS,Fighting,0.95,1.3,0.77,0.22,3.24,2.0700000000000003
Madden NFL 16,PS4,Sports,2.34,0.3,0.0,0.6,3.24,0.3
Gran Turismo 6,PS3,Racing,0.72,1.67,0.4,0.44,3.23,2.07
Halo: The Master Chief Collection,XOne,Shooter,1.91,1.0,0.03,0.29,3.23,1.03
007: Tomorrow Never Dies,PS,Shooter,1.72,1.33,0.0,0.16,3.21,1.33
Super Mario Maker,WiiU,Platform,1.18,0.89,0.94,0.2,3.21,1.83
WWF SmackDown! 2: Know Your Role,PS,Fighting,1.76,1.21,0.07,0.16,3.2,1.28
Baseball,NES,Sports,0.73,0.1,2.35,0.02,3.2,2.45
Killer Instinct,SNES,Fighting,2.26,0.72,0.12,0.1,3.2,0.84
Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,0.0,0.0,3.19,0.0,3.19,3.19
God of War: Chains of Olympus,PSP,Action,1.48,1.0,0.04,0.66,3.18,1.04
Enter the Matrix,PS2,Action,1.78,1.12,0.09,0.19,3.18,1.2100000000000002
Crisis Core: Final Fantasy VII,PSP,Role-Playing,1.35,0.59,0.8,0.43,3.18,1.3900000000000001
Dance Central,X360,Misc,2.15,0.76,0.01,0.26,3.17,0.77
L.A. Noire,PS3,Adventure,1.27,1.29,0.12,0.49,3.17,1.4100000000000001
Ace Combat 04: Shattered Skies,PS2,Simulation,2.06,0.56,0.38,0.17,3.17,0.9400000000000001
Animal Crossing,GC,Simulation,1.92,0.16,0.99,0.09,3.15,1.15
FIFA Soccer 08,PS2,Sports,0.68,0.0,0.0,2.46,3.14,0.0
Club Penguin: Elite Penguin Force,DS,Adventure,1.87,0.97,0.0,0.3,3.14,0.97
Spider-Man,PS,Action,1.7,1.25,0.02,0.16,3.13,1.27
Mario Party 9,Wii,Misc,1.06,1.09,0.76,0.22,3.13,1.85
Need for Speed III: Hot Pursuit,PS,Racing,2.14,0.86,0.0,0.13,3.12,0.86
Star Wars Episode I Racer,N64,Racing,2.31,0.62,0.14,0.04,3.12,0.76
Sonic Rush,DS,Platform,1.21,1.56,0.06,0.29,3.12,1.62
Dragon Warrior IV,NES,Role-Playing,0.08,0.0,3.03,0.01,3.12,3.03
Rhythm Heaven,DS,Misc,0.55,0.5,1.93,0.13,3.11,2.4299999999999997
Fallout: New Vegas,PS3,Role-Playing,1.52,1.03,0.1,0.46,3.11,1.1300000000000001
Personal Trainer: Cooking,DS,Misc,0.9,1.0,1.03,0.17,3.11,2.0300000000000002
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,1.69,0.85,0.14,0.43,3.1,0.99
The Legend of Zelda: A Link Between Worlds,3DS,Action,1.4,1.01,0.46,0.23,3.1,1.47
Resident Evil 6,PS3,Shooter,0.88,0.94,0.88,0.4,3.1,1.8199999999999998
Mass Effect 2,X360,Role-Playing,1.99,0.81,0.03,0.27,3.1,0.8400000000000001
Dragon Ball Z: Budokai,PS2,Fighting,2.17,0.28,0.55,0.08,3.09,0.8300000000000001
Madden NFL 2002,PS2,Sports,2.5,0.16,0.01,0.42,3.08,0.17
World Class Track Meet,NES,Sports,1.92,0.45,0.64,0.07,3.08,1.09
Donkey Kong,GB,Platform,1.57,0.62,0.55,0.34,3.07,1.17
The Sims: Vacation,PC,Simulation,1.72,1.21,0.0,0.14,3.07,1.21
LEGO Batman: The Videogame,Wii,Action,1.8,0.97,0.0,0.29,3.06,0.97
Animal Crossing: Happy Home Designer,3DS,Simulation,0.51,1.02,1.4,0.12,3.05,2.42
The Sims 4,PC,Simulation,1.0,1.82,0.0,0.23,3.05,1.82
Borderlands 2,X360,Shooter,1.89,0.88,0.04,0.25,3.05,0.92
LEGO Batman: The Videogame,DS,Action,1.75,1.01,0.0,0.29,3.05,1.01
Kung Fu Panda,X360,Action,1.91,0.84,0.0,0.29,3.04,0.84
Mass Effect 3,X360,Role-Playing,1.94,0.84,0.03,0.24,3.04,0.87
Heavy Rain,PS3,Adventure,1.29,1.21,0.06,0.47,3.03,1.27
Rayman,PS,Platform,1.54,1.33,0.0,0.16,3.03,1.33
Saints Row 2,X360,Action,1.94,0.79,0.02,0.28,3.03,0.81
Tom Clancy's Splinter Cell,XB,Action,1.85,1.04,0.0,0.13,3.02,1.04
Mike Tyson's Punch-Out!!,NES,Fighting,2.03,0.47,0.45,0.07,3.02,0.9199999999999999
WWE SmackDown! Shut Your Mouth,PS2,Sports,1.45,1.13,0.07,0.38,3.02,1.2
FIFA 14,PS4,Sports,0.61,1.85,0.11,0.44,3.01,1.9600000000000002
Killzone 2,PS3,Shooter,1.4,1.06,0.08,0.47,3.01,1.1400000000000001
Far Cry 3,X360,Shooter,1.38,1.32,0.02,0.28,3.0,1.34
Epic Mickey,Wii,Platform,2.04,0.63,0.12,0.22,3.0,0.75
NBA 2K13,X360,Sports,2.6,0.2,0.01,0.19,3.0,0.21000000000000002
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,1.15,0.0,0.76,1.09,3.0,0.76
wwe Smackdown vs. Raw 2006,PS2,Fighting,1.57,1.02,0.0,0.41,3.0,1.02
Star Fox,SNES,Shooter,1.61,0.51,0.8,0.07,2.99,1.31
The Sims: Livin Large,PC,Misc,1.67,1.18,0.0,0.13,2.99,1.18
World Soccer Winning Eleven 6 International,PS2,Sports,0.12,1.26,1.16,0.45,2.99,2.42
Devil May Cry,PS2,Action,1.36,0.86,0.64,0.13,2.99,1.5
Star Wars: The Old Republic,PC,Role-Playing,1.58,1.01,0.0,0.38,2.96,1.01
Middle-Earth: Shadow of Mordor,PS4,Action,1.01,1.43,0.05,0.47,2.96,1.48
Sonic Heroes,PS2,Platform,1.04,1.37,0.06,0.49,2.96,1.4300000000000002
Hitman 2: Silent Assassin,PS2,Action,1.36,1.15,0.04,0.41,2.96,1.19
Titanfall,XOne,Shooter,1.84,0.8,0.04,0.27,2.95,0.8400000000000001
Battlefield: Bad Company 2,PS3,Shooter,1.33,1.1,0.08,0.44,2.95,1.1800000000000002
Wave Race 64,N64,Racing,1.98,0.58,0.34,0.04,2.94,0.9199999999999999
SOCOM II: U.S. Navy SEALs,PS2,Shooter,2.22,0.51,0.06,0.15,2.94,0.5700000000000001
WWE SmackDown! vs. RAW 2006,PS2,Fighting,1.45,1.11,0.04,0.33,2.94,1.1500000000000001
Pac-Man Collection,GBA,Puzzle,2.07,0.77,0.05,0.05,2.94,0.8200000000000001
Street Fighter IV,X360,Fighting,1.82,0.7,0.15,0.26,2.94,0.85
inFAMOUS,PS3,Action,1.76,0.68,0.12,0.37,2.93,0.8
Kirby Super Star Ultra,DS,Platform,1.55,0.04,1.19,0.15,2.92,1.23
Call of Duty: Ghosts,XOne,Shooter,1.88,0.77,0.0,0.27,2.92,0.77
FIFA 15,X360,Sports,0.79,1.92,0.0,0.21,2.92,1.92
Super Mario World 2: Yoshi's Island,GBA,Platform,1.75,0.45,0.62,0.09,2.91,1.07
Mass Effect,X360,Role-Playing,1.83,0.79,0.03,0.27,2.91,0.8200000000000001
Sonic Mega Collection Plus,PS2,Misc,1.54,1.14,0.0,0.22,2.9,1.14
World Soccer Winning Eleven 7 International,PS2,Sports,0.08,1.24,1.13,0.45,2.9,2.37
Sega Superstars Tennis,X360,Sports,1.75,0.86,0.0,0.28,2.89,0.86
Hot Shots Golf 3,PS2,Sports,0.99,0.32,1.38,0.2,2.89,1.7
Cooking Mama: Cook Off,Wii,Simulation,1.41,1.12,0.05,0.3,2.89,1.1700000000000002
Call of Duty: Finest Hour,PS2,Shooter,1.51,1.12,0.01,0.24,2.89,1.1300000000000001
WarioWare: Smooth Moves,Wii,Puzzle,0.86,1.04,0.73,0.26,2.89,1.77
Syphon Filter,PS,Shooter,2.03,0.72,0.02,0.11,2.88,0.74
Imagine: Babyz,DS,Simulation,1.3,1.26,0.0,0.31,2.87,1.26
Colin McRae Rally,PS,Racing,0.09,2.43,0.12,0.22,2.87,2.5500000000000003
Madden NFL 13,X360,Sports,2.53,0.15,0.0,0.17,2.86,0.15
The Elder Scrolls III: Morrowind,XB,Role-Playing,2.09,0.63,0.03,0.11,2.86,0.66
Assassin's Creed IV: Black Flag,PS4,Action,1.07,1.31,0.06,0.42,2.85,1.37
Command & Conquer: Red Alert,PC,Strategy,1.37,1.34,0.0,0.14,2.85,1.34
F-Zero,SNES,Racing,1.37,0.51,0.89,0.07,2.85,1.4
Yoshi's Story,N64,Platform,1.29,0.53,0.98,0.05,2.85,1.51
Mortal Kombat,PS3,Fighting,1.98,0.53,0.0,0.34,2.84,0.53
Madden NFL 10,X360,Sports,2.52,0.09,0.0,0.22,2.83,0.09
WWE SmackDown! vs. Raw,PS2,Fighting,1.32,1.08,0.04,0.39,2.83,1.12
BioShock,X360,Shooter,1.65,0.85,0.05,0.28,2.83,0.9
Metroid Prime,GC,Shooter,1.96,0.67,0.1,0.09,2.82,0.77
Assassin's Creed: Brotherhood,PS3,Action,1.87,0.55,0.11,0.29,2.82,0.66
Finding Nemo,GBA,Action,1.59,1.05,0.04,0.14,2.82,1.09
Zumba Fitness 2,Wii,Sports,1.51,1.03,0.0,0.27,2.81,1.03
Myst,PC,Adventure,0.02,2.79,0.0,0.0,2.81,2.79
Medal of Honor,PS3,Shooter,1.28,1.04,0.07,0.42,2.81,1.11
Need for Speed: Most Wanted,PS3,Racing,0.71,1.46,0.06,0.58,2.81,1.52
Imagine: Fashion Designer,DS,Simulation,1.32,1.19,0.0,0.3,2.8,1.19
WWE SmackDown! Here Comes the Pain,PS2,Fighting,1.32,1.06,0.04,0.38,2.8,1.1
Hot Shots Golf,PS,Sports,0.29,0.2,2.13,0.18,2.79,2.33
A Bug's Life,PS,Platform,1.96,0.72,0.0,0.11,2.79,0.72
WWF SmackDown! Just Bring It,PS2,Fighting,1.19,1.15,0.04,0.41,2.79,1.19
inFAMOUS: Second Son,PS4,Action,1.28,0.98,0.07,0.46,2.79,1.05
Dragon Quest V: Tenkuu no Hanayome,SNES,Role-Playing,0.0,0.0,2.78,0.01,2.79,2.78
Mortal Kombat Trilogy,PS,Fighting,1.98,0.7,0.0,0.11,2.79,0.7
Monster Hunter Tri,3DS,Role-Playing,0.46,0.29,1.96,0.07,2.79,2.25
NBA Street,PS2,Sports,2.19,0.22,0.0,0.38,2.79,0.22
Jak II,PS2,Platform,1.68,0.74,0.0,0.36,2.78,0.74
Ratchet & Clank: Going Commando,PS2,Platform,1.44,0.83,0.26,0.25,2.78,1.0899999999999999
Need for Speed: Hot Pursuit,PS3,Racing,1.05,1.23,0.03,0.47,2.78,1.26
Skylanders: Spyro's Adventure,Wii,Action,1.35,1.13,0.0,0.3,2.78,1.13
Battlefield 3,PC,Shooter,0.89,1.43,0.0,0.46,2.78,1.43
Mortal Kombat X,PS4,Fighting,1.5,0.8,0.0,0.48,2.78,0.8
The Sims,PS2,Simulation,1.41,1.12,0.0,0.24,2.77,1.12
Killzone 3,PS3,Shooter,1.45,0.86,0.09,0.38,2.77,0.95
Star Wars: The Force Unleashed,X360,Action,1.74,0.77,0.0,0.26,2.77,0.77
Minecraft,XOne,Misc,1.61,0.9,0.0,0.25,2.76,0.9
Yoshi's Island DS,DS,Platform,1.45,0.07,1.1,0.15,2.76,1.1700000000000002
Saints Row: The Third,X360,Action,1.25,1.14,0.07,0.3,2.76,1.21
Missile Command,2600,Shooter,2.56,0.17,0.0,0.03,2.76,0.17
Mario Paint,SNES,Misc,1.43,0.54,0.71,0.07,2.75,1.25
Tekken 6,PS3,Fighting,1.2,0.97,0.17,0.42,2.75,1.14
Pokémon Stadium 2,N64,Strategy,1.02,0.36,1.13,0.23,2.73,1.4899999999999998
Metroid,NES,Action,1.33,0.31,1.04,0.05,2.73,1.35
Sonic and the Secret Rings,Wii,Platform,1.21,1.19,0.04,0.29,2.73,1.23
FIFA 16,PS3,Sports,0.41,1.84,0.05,0.4,2.71,1.8900000000000001
The Legend of Zelda: A Link to the Past,GBA,Action,1.75,0.52,0.33,0.1,2.7,0.8500000000000001
Onimusha: Warlords,PS2,Action,0.99,0.48,1.09,0.14,2.7,1.57
Mario Party,N64,Misc,1.25,0.53,0.87,0.05,2.7,1.4
L.A. Noire,X360,Adventure,1.52,0.92,0.02,0.24,2.7,0.9400000000000001
Call of Duty 3,X360,Shooter,1.49,0.92,0.02,0.27,2.7,0.9400000000000001
Madden NFL 12,X360,Sports,2.42,0.11,0.0,0.16,2.69,0.11
LEGO Star Wars II: The Original Trilogy,PS2,Action,1.85,0.64,0.01,0.19,2.69,0.65
Killzone: Shadow Fall,PS4,Shooter,0.89,1.33,0.08,0.39,2.69,1.4100000000000001
Madden NFL 11,X360,Sports,2.38,0.12,0.0,0.18,2.69,0.12
Burnout 3: Takedown,PS2,Racing,1.23,1.11,0.0,0.34,2.68,1.11
Yokai Watch 2 Shinuchi,3DS,Role-Playing,0.0,0.0,2.68,0.0,2.68,2.68
Mortal Kombat,GEN,Fighting,1.95,0.63,0.0,0.09,2.67,0.63
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle,1.63,0.51,0.35,0.18,2.67,0.86
Professor Layton and the Last Specter,DS,Puzzle,0.28,1.39,0.68,0.32,2.67,2.07
Call Of Duty 2: Big Red One,PS2,Shooter,1.48,0.92,0.01,0.26,2.67,0.93
Medal of Honor,PS,Shooter,1.44,1.09,0.0,0.14,2.67,1.09
Fable,XB,Role-Playing,1.99,0.58,0.0,0.09,2.66,0.58
Guitar Hero: World Tour,X360,Misc,1.78,0.63,0.0,0.25,2.66,0.63
FIFA 17,XOne,Sports,0.43,2.05,0.0,0.17,2.65,2.05
Hannah Montana,DS,Action,1.59,0.8,0.0,0.26,2.65,0.8
Tom Clancy's Splinter Cell,PS2,Action,1.15,1.11,0.0,0.4,2.65,1.11
Super Mario Bros.: The Lost Levels,NES,Platform,0.0,0.0,2.65,0.0,2.65,2.65
Need for Speed: Shift,PS3,Racing,0.69,1.4,0.04,0.52,2.65,1.44
Star Wars: Shadows of the Empire,N64,Action,2.0,0.5,0.12,0.03,2.65,0.62
Medal of Honor Heroes,PSP,Shooter,0.86,1.11,0.01,0.66,2.65,1.12
Final Fantasy XIII-2,PS3,Role-Playing,0.78,0.73,0.89,0.23,2.63,1.62
Midnight Club: Street Racing,PS2,Racing,2.0,0.47,0.02,0.14,2.63,0.49
Skate 3,X360,Sports,1.47,0.93,0.0,0.24,2.63,0.93
ESPN NFL 2K5,PS2,Sports,2.15,0.12,0.0,0.36,2.62,0.12
Halo Wars,X360,Strategy,1.54,0.8,0.04,0.24,2.62,0.8400000000000001
NBA 2K12,X360,Sports,2.31,0.14,0.01,0.16,2.62,0.15000000000000002
Pac-Man: Adventures in Time,PSP,Fighting,0.76,1.09,0.12,0.64,2.62,1.21
FIFA Soccer 10,X360,Sports,0.59,1.79,0.01,0.23,2.62,1.8
Medal of Honor,X360,Shooter,1.56,0.8,0.04,0.21,2.61,0.8400000000000001
Harry Potter and the Chamber of Secrets,PS2,Action,0.9,1.22,0.04,0.44,2.61,1.26
Streets of Rage,GEN,Action,1.86,0.55,0.11,0.08,2.6,0.66
God of War Collection,PS3,Action,1.7,0.44,0.06,0.4,2.6,0.5
NBA Live 2005,PS2,Sports,2.03,0.21,0.0,0.35,2.59,0.21
Mario Strikers Charged,Wii,Sports,1.05,1.05,0.24,0.24,2.58,1.29
FIFA Soccer 09,PS3,Sports,0.48,1.63,0.04,0.43,2.58,1.67
Style Savvy,DS,Simulation,0.62,0.82,0.96,0.18,2.58,1.7799999999999998
WWE SmackDown vs. RAW 2007,PS2,Fighting,1.4,0.88,0.03,0.26,2.58,0.91
LEGO Star Wars: The Complete Saga,X360,Action,1.53,0.81,0.0,0.24,2.57,0.81
Ratchet & Clank: Up Your Arsenal,PS2,Platform,1.31,0.74,0.31,0.22,2.57,1.05
Madden NFL 08,PS2,Sports,2.14,0.08,0.0,0.35,2.57,0.08
Monster Hunter Freedom 2,PSP,Role-Playing,0.37,0.27,1.75,0.18,2.57,2.02
Ratchet & Clank Future: Tools of Destruction,PS3,Platform,0.93,1.1,0.08,0.45,2.56,1.1800000000000002
Super Mario All-Stars: Limited Edition,Wii,Platform,0.99,0.52,0.92,0.14,2.56,1.44
Sonic Adventure 2 Battle,GC,Platform,1.7,0.59,0.21,0.07,2.56,0.7999999999999999
Dragon Warrior II,NES,Role-Playing,0.15,0.0,2.41,0.0,2.56,2.41
Ghostbusters: The Video Game (DS Version),X360,Action,1.04,1.22,0.03,0.27,2.56,1.25
Madden NFL 13,PS3,Sports,2.11,0.22,0.0,0.23,2.56,0.22
Dragon Age: Origins,X360,Role-Playing,1.76,0.55,0.03,0.22,2.56,0.5800000000000001
Pokémon Colosseum,GC,Role-Playing,1.21,0.57,0.7,0.07,2.54,1.27
LittleBigPlanet,PSP,Platform,0.64,1.22,0.01,0.67,2.54,1.23
Madden NFL 09,X360,Sports,2.21,0.12,0.0,0.2,2.53,0.12
Space Invaders,2600,Shooter,2.36,0.14,0.0,0.03,2.53,0.14
Crazy Taxi,PS2,Racing,1.13,1.12,0.06,0.22,2.52,1.1800000000000002
Art Academy,DS,Misc,0.26,1.65,0.33,0.28,2.52,1.98
NBA 2K14,X360,Sports,2.1,0.19,0.0,0.23,2.52,0.19
