NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Super Mario World,GBA,Platform,3.21,1.11,0.95,0.2,5.46,2.06
Pokemon Stadium,N64,Strategy,3.18,1.24,0.94,0.09,5.45,2.1799999999999997
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,2.07,2.29,0.24,0.82,5.42,2.5300000000000002
Call of Duty: World at War,PS3,Shooter,2.73,1.83,0.0,0.83,5.39,1.83
Uncharted 4: A Thief's End,PS4,Shooter,1.85,2.5,0.19,0.85,5.38,2.69
Dr. Mario,GB,Puzzle,2.18,0.96,2.0,0.2,5.34,2.96
Final Fantasy XIII,PS3,Role-Playing,1.74,1.21,1.87,0.51,5.33,3.08
Pokemon Pinball,GB,Misc,3.02,1.12,1.01,0.16,5.31,2.13
Final Fantasy IX,PS,Role-Playing,1.62,0.77,2.78,0.14,5.3,3.55
Assassin's Creed III,X360,Action,3.13,1.69,0.03,0.44,5.29,1.72
Final Fantasy X-2,PS2,Role-Playing,1.92,1.08,2.11,0.17,5.29,3.19
Donkey Kong 64,N64,Platform,3.33,0.79,1.09,0.06,5.27,1.8800000000000001
Call of Duty: Advanced Warfare,XOne,Shooter,3.22,1.55,0.01,0.48,5.27,1.56
Minecraft,PS3,Misc,2.03,2.37,0.0,0.87,5.26,2.37
Assassin's Creed II,X360,Action,3.11,1.55,0.08,0.51,5.26,1.6300000000000001
Tomb Raider II,PS,Action,2.3,2.46,0.2,0.28,5.24,2.66
Madden NFL 2004,PS2,Sports,4.26,0.26,0.01,0.71,5.23,0.27
Tomodachi Life,3DS,Simulation,0.97,2.11,1.9,0.24,5.23,4.01
New Super Mario Bros. U,WiiU,Platform,2.3,1.34,1.27,0.32,5.22,2.6100000000000003
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,0.65,0.75,3.61,0.2,5.21,4.359999999999999
Super Mario Bros. 3,GBA,Platform,2.93,1.25,0.83,0.2,5.2,2.08
Professor Layton and the Curious Village,DS,Puzzle,1.21,2.43,1.03,0.52,5.19,3.46
Super Mario Land 3: Wario Land,GB,Platform,2.49,0.98,1.57,0.15,5.19,2.55
FIFA Soccer 13,X360,Action,1.09,3.47,0.03,0.57,5.16,3.5
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,2.1,0.74,2.2,0.11,5.15,2.9400000000000004
Diablo III,PC,Role-Playing,2.44,2.16,0.0,0.54,5.14,2.16
Medal of Honor: Rising Sun,PS2,Shooter,1.98,2.23,0.13,0.8,5.13,2.36
Kirby's Dream Land,GB,Platform,2.71,0.61,1.7,0.11,5.13,2.31
Microsoft Flight Simulator,PC,Simulation,3.22,1.69,0.0,0.2,5.12,1.69
Guitar Hero II,PS2,Misc,3.81,0.63,0.0,0.68,5.12,0.63
Fable III,X360,Role-Playing,3.59,1.08,0.05,0.38,5.1,1.1300000000000001
Mario & Sonic at the Olympic Games,DS,Sports,1.63,2.45,0.44,0.57,5.09,2.89
Resident Evil 5,PS3,Action,1.96,1.41,1.08,0.64,5.09,2.49
The Legend of Zelda: Phantom Hourglass,DS,Action,1.85,1.8,0.95,0.48,5.08,2.75
Super Mario Bros.,GB,Platform,3.4,1.3,0.15,0.22,5.07,1.45
FIFA Soccer 11,PS3,Sports,0.61,3.28,0.06,1.12,5.07,3.34
Resident Evil,PS,Action,2.05,1.16,1.11,0.73,5.05,2.27
Grand Theft Auto: Vice City Stories,PSP,Action,1.7,1.99,0.16,1.18,5.03,2.15
Tony Hawk's Pro Skater,PS,Sports,3.42,1.38,0.02,0.2,5.02,1.4
Warzone 2100,PS,Strategy,2.79,1.89,0.0,0.33,5.01,1.89
Spyro the Dragon,PS,Platform,3.36,1.36,0.07,0.21,5.0,1.4300000000000002
Guitar Hero III: Legends of Rock,PS2,Misc,3.49,0.01,0.01,1.48,4.98,0.02
Link's Crossbow Training,Wii,Shooter,3.05,1.17,0.29,0.46,4.98,1.46
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,1.83,1.19,1.54,0.37,4.93,2.73
Fallout 3,X360,Role-Playing,3.4,0.99,0.09,0.45,4.93,1.08
Uncharted: Drake's Fortune,PS3,Action,2.31,1.72,0.12,0.77,4.92,1.8399999999999999
Madden NFL 06,PS2,Sports,3.98,0.26,0.01,0.66,4.91,0.27
Diddy Kong Racing,N64,Racing,2.91,0.99,0.89,0.1,4.88,1.88
Monster Hunter Freedom 3,PSP,Role-Playing,0.0,0.0,4.87,0.0,4.87,4.87
Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,2.6,1.08,0.81,0.38,4.87,1.8900000000000001
Dr. Mario,NES,Puzzle,2.62,0.6,1.52,0.1,4.85,2.12
StarCraft II: Wings of Liberty,PC,Strategy,2.57,1.68,0.0,0.58,4.84,1.68
Assassin's Creed,PS3,Adventure,1.91,2.0,0.09,0.82,4.82,2.09
God of War III,PS3,Action,2.74,1.33,0.12,0.61,4.8,1.4500000000000002
Crash Team Racing,PS,Racing,2.57,1.57,0.44,0.21,4.79,2.0100000000000002
LEGO Star Wars: The Complete Saga,DS,Action,2.83,1.48,0.0,0.45,4.76,1.48
Driver 2,PS,Action,2.36,2.1,0.02,0.25,4.73,2.12
Batman: Arkham City,X360,Action,2.99,1.27,0.04,0.42,4.73,1.31
The Last of Us,PS4,Action,1.88,2.0,0.07,0.77,4.71,2.07
The Simpsons: Hit & Run,PS2,Racing,1.73,2.19,0.0,0.79,4.7,2.19
Tony Hawk's Pro Skater 2,PS,Sports,3.05,1.41,0.02,0.2,4.68,1.43
The Lord of the Rings: The Two Towers,PS2,Action,1.94,1.95,0.08,0.7,4.67,2.03
Tomb Raider,PS,Action,2.29,1.97,0.13,0.24,4.63,2.1
Animal Crossing: City Folk,Wii,Simulation,1.82,1.12,1.32,0.36,4.62,2.4400000000000004
Uncharted: The Nathan Drake Collection,PS4,Action,2.07,1.71,0.08,0.76,4.62,1.79
The Legend of Zelda: A Link to the Past,SNES,Action,2.42,0.91,1.15,0.13,4.61,2.06
The Legend of Zelda: The Wind Waker,GC,Action,2.6,0.99,0.89,0.13,4.6,1.88
Guitar Hero III: Legends of Rock,Wii,Misc,3.04,1.11,0.0,0.43,4.6,1.11
Luigi's Mansion: Dark Moon,3DS,Action,1.8,1.39,1.11,0.29,4.59,2.5
Forza Motorsport 4,X360,Racing,2.08,1.97,0.06,0.46,4.57,2.03
Mario & Sonic at the Olympic Winter Games,Wii,Sports,1.87,1.96,0.22,0.48,4.53,2.18
Madden NFL 2005,PS2,Sports,4.18,0.26,0.01,0.08,4.53,0.27
Guitar Hero III: Legends of Rock,X360,Misc,3.19,0.91,0.01,0.42,4.53,0.92
Pitfall!,2600,Platform,4.21,0.24,0.0,0.05,4.5,0.24
Madden NFL 07,PS2,Sports,3.63,0.24,0.01,0.61,4.49,0.25
Halo 5: Guardians,XOne,Shooter,2.78,1.27,0.03,0.41,4.48,1.3
Spider-Man: The Movie,PS2,Action,2.71,1.51,0.03,0.23,4.48,1.54
Dragon Quest VII: Warriors of Eden,PS,Role-Playing,0.2,0.14,4.1,0.02,4.47,4.239999999999999
Call of Duty: Infinite Warfare,PS4,Shooter,1.61,2.0,0.15,0.71,4.46,2.15
God of War,PS2,Action,2.71,1.29,0.02,0.43,4.45,1.31
Splatoon,WiiU,Shooter,1.54,1.18,1.46,0.26,4.43,2.6399999999999997
Nintendo Land,WiiU,Misc,2.52,1.11,0.46,0.33,4.42,1.57
Tony Hawk's Pro Skater 3,PS2,Sports,2.66,1.29,0.01,0.46,4.41,1.3
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,0.1,2.39,1.05,0.86,4.39,3.4400000000000004
The Elder Scrolls IV: Oblivion,X360,Role-Playing,2.82,1.03,0.13,0.4,4.38,1.1600000000000001
Zelda II: The Adventure of Link,NES,Adventure,2.19,0.5,1.61,0.08,4.38,2.1100000000000003
Need for Speed: Most Wanted,PS2,Racing,2.03,1.79,0.08,0.47,4.37,1.87
Michael Jackson: The Experience,Wii,Misc,2.64,1.33,0.01,0.39,4.36,1.34
Call of Duty: Advanced Warfare,PS3,Shooter,1.56,1.93,0.19,0.68,4.36,2.12
Resistance: Fall of Man,PS3,Shooter,1.74,1.72,0.14,0.75,4.34,1.8599999999999999
Sonic the Hedgehog,GEN,Platform,3.03,0.91,0.26,0.13,4.34,1.17
Kingdom Hearts II,PS2,Role-Playing,2.2,0.58,1.38,0.17,4.33,1.96
The Legend of Zelda: Ocarina of Time,3DS,Action,2.09,1.31,0.62,0.31,4.33,1.9300000000000002
Super Mario 3D World,WiiU,Platform,2.11,1.16,0.73,0.32,4.32,1.89
Minecraft,PS4,Misc,1.48,2.02,0.14,0.68,4.32,2.16
Asteroids,2600,Shooter,4.0,0.26,0.0,0.05,4.31,0.26
Call of Duty: Advanced Warfare,X360,Shooter,2.77,1.11,0.0,0.4,4.29,1.11
FIFA 15,PS3,Sports,0.58,3.02,0.04,0.64,4.28,3.06
Fable II,X360,Role-Playing,2.51,1.24,0.11,0.41,4.27,1.35
Namco Museum,GBA,Misc,3.0,1.11,0.05,0.07,4.24,1.1600000000000001
Batman: Arkham Asylum,PS3,Action,2.24,1.31,0.07,0.61,4.23,1.3800000000000001
Metal Gear Solid 3: Snake Eater,PS2,Action,1.46,0.0,0.83,1.93,4.23,0.83
Assassin's Creed: Revelations,PS3,Action,1.41,2.01,0.1,0.7,4.22,2.11
Fallout 4,XOne,Role-Playing,2.51,1.32,0.01,0.38,4.22,1.33
FIFA 14,X360,Sports,0.92,2.89,0.01,0.4,4.22,2.9
Daxter,PSP,Platform,2.45,1.01,0.0,0.75,4.21,1.01
Warcraft II: Tides of Darkness,PC,Strategy,1.7,2.27,0.0,0.23,4.21,2.27
FIFA Soccer 06,PS2,Sports,0.78,2.55,0.04,0.84,4.21,2.59
EyeToy Play,PS2,Misc,0.88,2.3,0.2,0.83,4.2,2.5
Gran Turismo 5 Prologue,PS3,Racing,1.28,1.82,0.57,0.52,4.19,2.39
Assassin's Creed: Revelations,X360,Action,2.25,1.47,0.04,0.43,4.19,1.51
FIFA 12,X360,Sports,0.84,2.78,0.02,0.53,4.18,2.8
Teenage Mutant Ninja Turtles,NES,Action,3.38,0.44,0.31,0.04,4.17,0.75
Street Fighter IV,PS3,Fighting,2.03,1.04,0.58,0.52,4.16,1.62
Excitebike,NES,Racing,2.04,0.48,1.57,0.07,4.16,2.05
Frogger,PS,Action,3.79,0.27,0.0,0.11,4.16,0.27
Madden NFL 2003,PS2,Sports,3.36,0.21,0.01,0.56,4.14,0.22
Half-Life,PC,Shooter,4.03,0.0,0.09,0.0,4.12,0.09
Super Mario World 2: Yoshi's Island,SNES,Platform,1.65,0.61,1.76,0.09,4.12,2.37
FIFA Soccer 07,PS2,Sports,0.71,2.48,0.03,0.89,4.11,2.51
Street Fighter II Turbo,SNES,Fighting,1.42,0.51,2.1,0.07,4.1,2.6100000000000003
World of Warcraft: The Burning Crusade,PC,Role-Playing,2.57,1.52,0.0,0.0,4.09,1.52
Battlefield 1,PS4,Shooter,1.1,2.15,0.21,0.61,4.08,2.36
God of War II,PS2,Action,2.32,0.04,0.04,1.67,4.07,0.08
World Soccer Winning Eleven 9,PS2,Sports,0.12,2.26,0.9,0.77,4.06,3.1599999999999997
Fallout: New Vegas,X360,Role-Playing,2.66,1.03,0.04,0.33,4.05,1.07
Forza Motorsport 2,X360,Racing,2.35,1.27,0.03,0.41,4.05,1.3
Carnival Games,Wii,Misc,2.12,1.47,0.05,0.42,4.05,1.52
Watch Dogs,PS4,Action,1.4,1.9,0.11,0.64,4.05,2.01
Namco Museum Vol.3,PS,Misc,2.28,1.55,0.16,0.06,4.05,1.71
Tekken Tag Tournament,PS2,Fighting,1.68,1.51,0.51,0.35,4.05,2.02
Far Cry 4,PS4,Shooter,1.13,2.18,0.1,0.63,4.04,2.2800000000000002
Star Fox 64,N64,Shooter,2.78,0.58,0.64,0.04,4.03,1.22
Golf,NES,Sports,1.22,0.28,2.46,0.04,4.01,2.74
Namco Museum: 50th Anniversary,PS2,Misc,2.08,1.35,0.0,0.54,3.98,1.35
Left 4 Dead 2,X360,Shooter,2.67,0.87,0.05,0.38,3.97,0.92
The Witcher 3: Wild Hunt,PS4,Role-Playing,1.02,2.13,0.23,0.59,3.97,2.36
